🕘️更新时间,#genre#
第一剧场,http://222.189.250.92/rtp/239.49.9.15:6000$江苏电信组播源-cache:222.189.250.92
第一剧场,http://121.233.165.155/rtp/239.49.9.15:6000$江苏电信组播源-cache:121.233.165.155
第一剧场,http://180.113.103.229/rtp/239.49.9.15:6000$江苏电信组播源-cache:180.113.103.229
风云剧场,http://180.213.174.225/rtp/239.5.0.68:5000$天津电信组播源-cache:180.213.174.225
风云剧场,http://180.213.174.225/rtp/239.5.1.123:5000$天津电信组播源-cache:180.213.174.225
风云剧场,http://180.105.209.130/rtp/239.49.9.10:6000$江苏电信组播源-cache:180.105.209.130
风云剧场,http://180.117.246.93/rtp/239.49.9.10:6000$江苏电信组播源-cache:180.117.246.93
风云剧场,http://180.105.201.25/rtp/239.49.9.10:6000$江苏电信组播源-cache:180.105.201.25
风云剧场,http://180.107.7.220/rtp/239.49.9.10:6000$江苏电信组播源-cache:180.107.7.220
风云剧场,http://180.102.252.23/rtp/239.49.9.10:6000$江苏电信组播源-cache:180.102.252.23
风云剧场,http://222.189.250.92/rtp/239.49.9.10:6000$江苏电信组播源-cache:222.189.250.92
风云剧场,http://121.233.165.155/rtp/239.49.9.10:6000$江苏电信组播源-cache:121.233.165.155
风云剧场,http://180.113.103.229/rtp/239.49.9.10:6000$江苏电信组播源-cache:180.113.103.229
怀旧剧场,http://180.213.174.225/rtp/239.5.0.67:5000$天津电信组播源-cache:180.213.174.225
怀旧剧场,http://180.213.174.225/rtp/239.5.1.122:5000$天津电信组播源-cache:180.213.174.225
怀旧剧场,http://180.105.209.130/rtp/239.49.9.12:6000$江苏电信组播源-cache:180.105.209.130
怀旧剧场,http://180.117.246.93/rtp/239.49.9.12:6000$江苏电信组播源-cache:180.117.246.93
怀旧剧场,http://180.105.201.25/rtp/239.49.9.12:6000$江苏电信组播源-cache:180.105.201.25
怀旧剧场,http://180.107.7.220/rtp/239.49.9.12:6000$江苏电信组播源-cache:180.107.7.220
怀旧剧场,http://180.102.252.23/rtp/239.49.9.12:6000$江苏电信组播源-cache:180.102.252.23
怀旧剧场,http://222.189.250.92/rtp/239.49.9.12:6000$江苏电信组播源-cache:222.189.250.92
怀旧剧场,http://121.233.165.155/rtp/239.49.9.12:6000$江苏电信组播源-cache:121.233.165.155
怀旧剧场,http://180.113.103.229/rtp/239.49.9.12:6000$江苏电信组播源-cache:180.113.103.229
女性时尚,http://180.213.174.225/rtp/239.5.0.73:5000$天津电信组播源-cache:180.213.174.225
女性时尚,http://180.213.174.225/rtp/239.5.1.127:5000$天津电信组播源-cache:180.213.174.225
女性时尚,http://180.105.209.130/rtp/239.49.9.14:6000$江苏电信组播源-cache:180.105.209.130
女性时尚,http://180.117.246.93/rtp/239.49.9.14:6000$江苏电信组播源-cache:180.117.246.93
女性时尚,http://180.105.201.25/rtp/239.49.9.14:6000$江苏电信组播源-cache:180.105.201.25
女性时尚,http://180.107.7.220/rtp/239.49.9.14:6000$江苏电信组播源-cache:180.107.7.220
女性时尚,http://180.102.252.23/rtp/239.49.9.14:6000$江苏电信组播源-cache:180.102.252.23
女性时尚,http://222.189.250.92/rtp/239.49.9.14:6000$江苏电信组播源-cache:222.189.250.92
女性时尚,http://121.233.165.155/rtp/239.49.9.14:6000$江苏电信组播源-cache:121.233.165.155
女性时尚,http://180.113.103.229/rtp/239.49.9.14:6000$江苏电信组播源-cache:180.113.103.229
高尔夫网球,http://180.213.174.225/rtp/239.5.0.65:5000$天津电信组播源-cache:180.213.174.225
高尔夫网球,http://180.213.174.225/rtp/239.5.1.120:5000$天津电信组播源-cache:180.213.174.225
高尔夫网球,http://27.41.250.140/rtp/239.0.10.229:5229$广东联通组播源-cache:27.41.250.140
高尔夫网球,http://27.37.84.122/rtp/239.0.10.229:5229$广东联通组播源-cache:27.37.84.122
高尔夫网球,http://106.116.0.78/rtp/239.254.200.98:6232$河北电信组播源-cache:106.116.0.78
高尔夫网球,http://111.224.185.146/rtp/239.254.200.98:6232$河北电信组播源-cache:111.224.185.146
高尔夫网球,http://106.116.0.78/rtp/239.254.201.223:7252$河北电信组播源-cache:106.116.0.78
高尔夫网球,http://111.224.185.146/rtp/239.254.201.223:7252$河北电信组播源-cache:111.224.185.146
高尔夫网球,http://101.17.122.84/rtp/239.253.92.117:8062$河北联通组播源-cache:101.17.122.84
高尔夫网球,http://121.29.215.87/rtp/239.253.92.117:8062$河北联通组播源-cache:121.29.215.87
风云足球,http://180.213.174.225/rtp/239.5.0.64:5000$天津电信组播源-cache:180.213.174.225
风云足球,http://180.213.174.225/rtp/239.5.1.119:5000$天津电信组播源-cache:180.213.174.225
风云足球,http://180.105.209.130/rtp/239.49.9.6:6000$江苏电信组播源-cache:180.105.209.130
风云足球,http://180.117.246.93/rtp/239.49.9.6:6000$江苏电信组播源-cache:180.117.246.93
风云足球,http://180.105.201.25/rtp/239.49.9.6:6000$江苏电信组播源-cache:180.105.201.25
风云足球,http://180.107.7.220/rtp/239.49.9.6:6000$江苏电信组播源-cache:180.107.7.220
风云足球,http://180.102.252.23/rtp/239.49.9.6:6000$江苏电信组播源-cache:180.102.252.23
风云足球,http://222.189.250.92/rtp/239.49.9.6:6000$江苏电信组播源-cache:222.189.250.92
风云足球,http://121.233.165.155/rtp/239.49.9.6:6000$江苏电信组播源-cache:121.233.165.155
风云足球,http://180.113.103.229/rtp/239.49.9.6:6000$江苏电信组播源-cache:180.113.103.229
电视指南,http://180.213.174.225/rtp/239.5.0.77:5000$天津电信组播源-cache:180.213.174.225
电视指南,http://180.213.174.225/rtp/239.5.1.129:5000$天津电信组播源-cache:180.213.174.225
电视指南,http://180.105.209.130/rtp/239.49.9.5:6000$江苏电信组播源-cache:180.105.209.130
电视指南,http://180.117.246.93/rtp/239.49.9.5:6000$江苏电信组播源-cache:180.117.246.93
电视指南,http://180.105.201.25/rtp/239.49.9.5:6000$江苏电信组播源-cache:180.105.201.25
电视指南,http://180.107.7.220/rtp/239.49.9.5:6000$江苏电信组播源-cache:180.107.7.220
电视指南,http://180.102.252.23/rtp/239.49.9.5:6000$江苏电信组播源-cache:180.102.252.23
电视指南,http://222.189.250.92/rtp/239.49.9.5:6000$江苏电信组播源-cache:222.189.250.92
电视指南,http://121.233.165.155/rtp/239.49.9.5:6000$江苏电信组播源-cache:121.233.165.155
电视指南,http://180.113.103.229/rtp/239.49.9.5:6000$江苏电信组播源-cache:180.113.103.229
世界地理,http://180.213.174.225/rtp/239.5.0.69:5000$天津电信组播源-cache:180.213.174.225
世界地理,http://180.213.174.225/rtp/239.5.1.124:5000$天津电信组播源-cache:180.213.174.225
世界地理,http://180.105.209.130/rtp/239.49.9.8:6000$江苏电信组播源-cache:180.105.209.130
世界地理,http://180.117.246.93/rtp/239.49.9.8:6000$江苏电信组播源-cache:180.117.246.93
世界地理,http://180.105.201.25/rtp/239.49.9.8:6000$江苏电信组播源-cache:180.105.201.25
世界地理,http://180.107.7.220/rtp/239.49.9.8:6000$江苏电信组播源-cache:180.107.7.220
世界地理,http://180.102.252.23/rtp/239.49.9.8:6000$江苏电信组播源-cache:180.102.252.23
世界地理,http://222.189.250.92/rtp/239.49.9.8:6000$江苏电信组播源-cache:222.189.250.92
世界地理,http://121.233.165.155/rtp/239.49.9.8:6000$江苏电信组播源-cache:121.233.165.155
世界地理,http://180.113.103.229/rtp/239.49.9.8:6000$江苏电信组播源-cache:180.113.103.229
兵器科技,http://180.213.174.225/rtp/239.5.1.125:5000$天津电信组播源-cache:180.213.174.225
兵器科技,http://180.105.209.130/rtp/239.49.9.9:6000$江苏电信组播源-cache:180.105.209.130
兵器科技,http://180.117.246.93/rtp/239.49.9.9:6000$江苏电信组播源-cache:180.117.246.93
兵器科技,http://180.105.201.25/rtp/239.49.9.9:6000$江苏电信组播源-cache:180.105.201.25
兵器科技,http://180.107.7.220/rtp/239.49.9.9:6000$江苏电信组播源-cache:180.107.7.220
兵器科技,http://180.102.252.23/rtp/239.49.9.9:6000$江苏电信组播源-cache:180.102.252.23
兵器科技,http://222.189.250.92/rtp/239.49.9.9:6000$江苏电信组播源-cache:222.189.250.92
兵器科技,http://121.233.165.155/rtp/239.49.9.9:6000$江苏电信组播源-cache:121.233.165.155
兵器科技,http://180.113.103.229/rtp/239.49.9.9:6000$江苏电信组播源-cache:180.113.103.229
兵器科技,http://180.127.229.219/rtp/239.49.9.9:6000$江苏电信组播源-cache:180.127.229.219

📡卫视频道,#genre#
广东卫视,http://222.67.177.132/rtp/239.45.3.230:5140$上海电信组播源-cache:222.67.177.132
广东卫视,http://222.68.37.58/rtp/239.45.3.230:5140$上海电信组播源-cache:222.68.37.58
广东卫视,http://58.37.123.53/rtp/239.45.3.230:5140$上海电信组播源-cache:58.37.123.53
广东卫视,http://116.226.193.197/rtp/239.45.3.230:5140$上海电信组播源-cache:116.226.193.197
广东卫视,http://116.237.125.143/rtp/239.45.3.230:5140$上海电信组播源-cache:116.237.125.143
广东卫视,http://222.64.233.176/rtp/239.45.3.230:5140$上海电信组播源-cache:222.64.233.176
广东卫视,http://222.70.21.43/rtp/239.45.3.230:5140$上海电信组播源-cache:222.70.21.43
广东卫视,http://58.37.252.90/rtp/239.45.3.230:5140$上海电信组播源-cache:58.37.252.90
广东卫视,http://116.235.85.69/rtp/239.45.3.230:5140$上海电信组播源-cache:116.235.85.69
广东卫视,http://139.196.214.238/rtp/239.45.3.230:5140$上海电信组播源-cache:139.196.214.238
浙江卫视,http://222.67.177.132/rtp/239.45.3.178:5140$上海电信组播源-cache:222.67.177.132
浙江卫视,http://222.68.37.58/rtp/239.45.3.178:5140$上海电信组播源-cache:222.68.37.58
浙江卫视,http://58.37.123.53/rtp/239.45.3.178:5140$上海电信组播源-cache:58.37.123.53
浙江卫视,http://116.226.193.197/rtp/239.45.3.178:5140$上海电信组播源-cache:116.226.193.197
浙江卫视,http://116.237.125.143/rtp/239.45.3.178:5140$上海电信组播源-cache:116.237.125.143
浙江卫视,http://222.64.233.176/rtp/239.45.3.178:5140$上海电信组播源-cache:222.64.233.176
浙江卫视,http://222.70.21.43/rtp/239.45.3.178:5140$上海电信组播源-cache:222.70.21.43
浙江卫视,http://58.37.252.90/rtp/239.45.3.178:5140$上海电信组播源-cache:58.37.252.90
浙江卫视,http://116.235.85.69/rtp/239.45.3.178:5140$上海电信组播源-cache:116.235.85.69
浙江卫视,http://139.196.214.238/rtp/239.45.3.178:5140$上海电信组播源-cache:139.196.214.238
湖南卫视,http://222.67.177.132/rtp/239.45.3.228:5140$上海电信组播源-cache:222.67.177.132
湖南卫视,http://222.68.37.58/rtp/239.45.3.228:5140$上海电信组播源-cache:222.68.37.58
湖南卫视,http://58.37.123.53/rtp/239.45.3.228:5140$上海电信组播源-cache:58.37.123.53
湖南卫视,http://116.226.193.197/rtp/239.45.3.228:5140$上海电信组播源-cache:116.226.193.197
湖南卫视,http://116.237.125.143/rtp/239.45.3.228:5140$上海电信组播源-cache:116.237.125.143
湖南卫视,http://222.64.233.176/rtp/239.45.3.228:5140$上海电信组播源-cache:222.64.233.176
湖南卫视,http://222.70.21.43/rtp/239.45.3.228:5140$上海电信组播源-cache:222.70.21.43
湖南卫视,http://58.37.252.90/rtp/239.45.3.228:5140$上海电信组播源-cache:58.37.252.90
湖南卫视,http://116.235.85.69/rtp/239.45.3.228:5140$上海电信组播源-cache:116.235.85.69
湖南卫视,http://139.196.214.238/rtp/239.45.3.228:5140$上海电信组播源-cache:139.196.214.238
北京卫视,http://222.67.177.132/rtp/239.45.3.229:5140$上海电信组播源-cache:222.67.177.132
北京卫视,http://222.68.37.58/rtp/239.45.3.229:5140$上海电信组播源-cache:222.68.37.58
北京卫视,http://58.37.123.53/rtp/239.45.3.229:5140$上海电信组播源-cache:58.37.123.53
北京卫视,http://116.226.193.197/rtp/239.45.3.229:5140$上海电信组播源-cache:116.226.193.197
北京卫视,http://116.237.125.143/rtp/239.45.3.229:5140$上海电信组播源-cache:116.237.125.143
北京卫视,http://222.64.233.176/rtp/239.45.3.229:5140$上海电信组播源-cache:222.64.233.176
北京卫视,http://222.70.21.43/rtp/239.45.3.229:5140$上海电信组播源-cache:222.70.21.43
北京卫视,http://58.37.252.90/rtp/239.45.3.229:5140$上海电信组播源-cache:58.37.252.90
北京卫视,http://116.235.85.69/rtp/239.45.3.229:5140$上海电信组播源-cache:116.235.85.69
北京卫视,http://139.196.214.238/rtp/239.45.3.229:5140$上海电信组播源-cache:139.196.214.238
湖北卫视,http://222.67.177.132/rtp/239.45.3.239:5140$上海电信组播源-cache:222.67.177.132
湖北卫视,http://222.68.37.58/rtp/239.45.3.239:5140$上海电信组播源-cache:222.68.37.58
湖北卫视,http://58.37.123.53/rtp/239.45.3.239:5140$上海电信组播源-cache:58.37.123.53
湖北卫视,http://116.226.193.197/rtp/239.45.3.239:5140$上海电信组播源-cache:116.226.193.197
湖北卫视,http://116.237.125.143/rtp/239.45.3.239:5140$上海电信组播源-cache:116.237.125.143
湖北卫视,http://222.64.233.176/rtp/239.45.3.239:5140$上海电信组播源-cache:222.64.233.176
湖北卫视,http://222.70.21.43/rtp/239.45.3.239:5140$上海电信组播源-cache:222.70.21.43
湖北卫视,http://58.37.252.90/rtp/239.45.3.239:5140$上海电信组播源-cache:58.37.252.90
湖北卫视,http://116.235.85.69/rtp/239.45.3.239:5140$上海电信组播源-cache:116.235.85.69
湖北卫视,http://139.196.214.238/rtp/239.45.3.239:5140$上海电信组播源-cache:139.196.214.238
黑龙江卫视,http://222.67.177.132/rtp/239.45.3.232:5140$上海电信组播源-cache:222.67.177.132
黑龙江卫视,http://222.68.37.58/rtp/239.45.3.232:5140$上海电信组播源-cache:222.68.37.58
黑龙江卫视,http://58.37.123.53/rtp/239.45.3.232:5140$上海电信组播源-cache:58.37.123.53
黑龙江卫视,http://116.226.193.197/rtp/239.45.3.232:5140$上海电信组播源-cache:116.226.193.197
黑龙江卫视,http://116.237.125.143/rtp/239.45.3.232:5140$上海电信组播源-cache:116.237.125.143
黑龙江卫视,http://222.64.233.176/rtp/239.45.3.232:5140$上海电信组播源-cache:222.64.233.176
黑龙江卫视,http://222.70.21.43/rtp/239.45.3.232:5140$上海电信组播源-cache:222.70.21.43
黑龙江卫视,http://58.37.252.90/rtp/239.45.3.232:5140$上海电信组播源-cache:58.37.252.90
黑龙江卫视,http://116.235.85.69/rtp/239.45.3.232:5140$上海电信组播源-cache:116.235.85.69
黑龙江卫视,http://139.196.214.238/rtp/239.45.3.232:5140$上海电信组播源-cache:139.196.214.238
安徽卫视,http://222.67.177.132/rtp/239.45.1.120:5140$上海电信组播源-cache:222.67.177.132
安徽卫视,http://222.68.37.58/rtp/239.45.1.120:5140$上海电信组播源-cache:222.68.37.58
安徽卫视,http://58.37.123.53/rtp/239.45.1.120:5140$上海电信组播源-cache:58.37.123.53
安徽卫视,http://116.226.193.197/rtp/239.45.1.120:5140$上海电信组播源-cache:116.226.193.197
安徽卫视,http://116.237.125.143/rtp/239.45.1.120:5140$上海电信组播源-cache:116.237.125.143
安徽卫视,http://222.64.233.176/rtp/239.45.1.120:5140$上海电信组播源-cache:222.64.233.176
安徽卫视,http://222.70.21.43/rtp/239.45.1.120:5140$上海电信组播源-cache:222.70.21.43
安徽卫视,http://58.37.252.90/rtp/239.45.1.120:5140$上海电信组播源-cache:58.37.252.90
安徽卫视,http://116.235.85.69/rtp/239.45.1.120:5140$上海电信组播源-cache:116.235.85.69
安徽卫视,http://139.196.214.238/rtp/239.45.1.120:5140$上海电信组播源-cache:139.196.214.238
重庆卫视,http://222.67.177.132/rtp/239.45.1.84:5140$上海电信组播源-cache:222.67.177.132
重庆卫视,http://222.68.37.58/rtp/239.45.1.84:5140$上海电信组播源-cache:222.68.37.58
重庆卫视,http://58.37.123.53/rtp/239.45.1.84:5140$上海电信组播源-cache:58.37.123.53
重庆卫视,http://116.226.193.197/rtp/239.45.1.84:5140$上海电信组播源-cache:116.226.193.197
重庆卫视,http://116.237.125.143/rtp/239.45.1.84:5140$上海电信组播源-cache:116.237.125.143
重庆卫视,http://222.64.233.176/rtp/239.45.1.84:5140$上海电信组播源-cache:222.64.233.176
重庆卫视,http://222.70.21.43/rtp/239.45.1.84:5140$上海电信组播源-cache:222.70.21.43
重庆卫视,http://58.37.252.90/rtp/239.45.1.84:5140$上海电信组播源-cache:58.37.252.90
重庆卫视,http://116.235.85.69/rtp/239.45.1.84:5140$上海电信组播源-cache:116.235.85.69
重庆卫视,http://139.196.214.238/rtp/239.45.1.84:5140$上海电信组播源-cache:139.196.214.238
东方卫视,http://222.67.177.132/rtp/239.45.3.146:5140$上海电信组播源-cache:222.67.177.132
东方卫视,http://222.68.37.58/rtp/239.45.3.146:5140$上海电信组播源-cache:222.68.37.58
东方卫视,http://58.37.123.53/rtp/239.45.3.146:5140$上海电信组播源-cache:58.37.123.53
东方卫视,http://116.226.193.197/rtp/239.45.3.146:5140$上海电信组播源-cache:116.226.193.197
东方卫视,http://116.237.125.143/rtp/239.45.3.146:5140$上海电信组播源-cache:116.237.125.143
东方卫视,http://222.64.233.176/rtp/239.45.3.146:5140$上海电信组播源-cache:222.64.233.176
东方卫视,http://222.70.21.43/rtp/239.45.3.146:5140$上海电信组播源-cache:222.70.21.43
东方卫视,http://58.37.252.90/rtp/239.45.3.146:5140$上海电信组播源-cache:58.37.252.90
东方卫视,http://116.235.85.69/rtp/239.45.3.146:5140$上海电信组播源-cache:116.235.85.69
东方卫视,http://139.196.214.238/rtp/239.45.3.146:5140$上海电信组播源-cache:139.196.214.238
东南卫视,http://222.67.177.132/rtp/239.45.1.121:5140$上海电信组播源-cache:222.67.177.132
东南卫视,http://222.68.37.58/rtp/239.45.1.121:5140$上海电信组播源-cache:222.68.37.58
东南卫视,http://58.37.123.53/rtp/239.45.1.121:5140$上海电信组播源-cache:58.37.123.53
东南卫视,http://116.226.193.197/rtp/239.45.1.121:5140$上海电信组播源-cache:116.226.193.197
东南卫视,http://116.237.125.143/rtp/239.45.1.121:5140$上海电信组播源-cache:116.237.125.143
东南卫视,http://222.64.233.176/rtp/239.45.1.121:5140$上海电信组播源-cache:222.64.233.176
东南卫视,http://222.70.21.43/rtp/239.45.1.121:5140$上海电信组播源-cache:222.70.21.43
东南卫视,http://58.37.252.90/rtp/239.45.1.121:5140$上海电信组播源-cache:58.37.252.90
东南卫视,http://116.235.85.69/rtp/239.45.1.121:5140$上海电信组播源-cache:116.235.85.69
东南卫视,http://139.196.214.238/rtp/239.45.1.121:5140$上海电信组播源-cache:139.196.214.238
甘肃卫视,http://222.67.177.132/rtp/239.45.1.234:5140$上海电信组播源-cache:222.67.177.132
甘肃卫视,http://222.68.37.58/rtp/239.45.1.234:5140$上海电信组播源-cache:222.68.37.58
甘肃卫视,http://58.37.123.53/rtp/239.45.1.234:5140$上海电信组播源-cache:58.37.123.53
甘肃卫视,http://116.226.193.197/rtp/239.45.1.234:5140$上海电信组播源-cache:116.226.193.197
甘肃卫视,http://116.237.125.143/rtp/239.45.1.234:5140$上海电信组播源-cache:116.237.125.143
甘肃卫视,http://222.64.233.176/rtp/239.45.1.234:5140$上海电信组播源-cache:222.64.233.176
甘肃卫视,http://222.70.21.43/rtp/239.45.1.234:5140$上海电信组播源-cache:222.70.21.43
甘肃卫视,http://58.37.252.90/rtp/239.45.1.234:5140$上海电信组播源-cache:58.37.252.90
甘肃卫视,http://116.235.85.69/rtp/239.45.1.234:5140$上海电信组播源-cache:116.235.85.69
甘肃卫视,http://139.196.214.238/rtp/239.45.1.234:5140$上海电信组播源-cache:139.196.214.238
广西卫视,http://222.67.177.132/rtp/239.45.0.5:5140$上海电信组播源-cache:222.67.177.132
广西卫视,http://222.68.37.58/rtp/239.45.0.5:5140$上海电信组播源-cache:222.68.37.58
广西卫视,http://58.37.123.53/rtp/239.45.0.5:5140$上海电信组播源-cache:58.37.123.53
广西卫视,http://116.226.193.197/rtp/239.45.0.5:5140$上海电信组播源-cache:116.226.193.197
广西卫视,http://116.237.125.143/rtp/239.45.0.5:5140$上海电信组播源-cache:116.237.125.143
广西卫视,http://222.64.233.176/rtp/239.45.0.5:5140$上海电信组播源-cache:222.64.233.176
广西卫视,http://222.70.21.43/rtp/239.45.0.5:5140$上海电信组播源-cache:222.70.21.43
广西卫视,http://58.37.252.90/rtp/239.45.0.5:5140$上海电信组播源-cache:58.37.252.90
广西卫视,http://116.235.85.69/rtp/239.45.0.5:5140$上海电信组播源-cache:116.235.85.69
广西卫视,http://139.196.214.238/rtp/239.45.0.5:5140$上海电信组播源-cache:139.196.214.238
贵州卫视,http://222.67.177.132/rtp/239.45.1.80:5140$上海电信组播源-cache:222.67.177.132
贵州卫视,http://222.68.37.58/rtp/239.45.1.80:5140$上海电信组播源-cache:222.68.37.58
贵州卫视,http://58.37.123.53/rtp/239.45.1.80:5140$上海电信组播源-cache:58.37.123.53
贵州卫视,http://116.226.193.197/rtp/239.45.1.80:5140$上海电信组播源-cache:116.226.193.197
贵州卫视,http://116.237.125.143/rtp/239.45.1.80:5140$上海电信组播源-cache:116.237.125.143
贵州卫视,http://222.64.233.176/rtp/239.45.1.80:5140$上海电信组播源-cache:222.64.233.176
贵州卫视,http://222.70.21.43/rtp/239.45.1.80:5140$上海电信组播源-cache:222.70.21.43
贵州卫视,http://58.37.252.90/rtp/239.45.1.80:5140$上海电信组播源-cache:58.37.252.90
贵州卫视,http://116.235.85.69/rtp/239.45.1.80:5140$上海电信组播源-cache:116.235.85.69
贵州卫视,http://139.196.214.238/rtp/239.45.1.80:5140$上海电信组播源-cache:139.196.214.238
海南卫视,http://222.67.177.132/rtp/239.45.1.81:5140$上海电信组播源-cache:222.67.177.132
海南卫视,http://222.68.37.58/rtp/239.45.1.81:5140$上海电信组播源-cache:222.68.37.58
海南卫视,http://58.37.123.53/rtp/239.45.1.81:5140$上海电信组播源-cache:58.37.123.53
海南卫视,http://116.226.193.197/rtp/239.45.1.81:5140$上海电信组播源-cache:116.226.193.197
海南卫视,http://116.237.125.143/rtp/239.45.1.81:5140$上海电信组播源-cache:116.237.125.143
海南卫视,http://222.64.233.176/rtp/239.45.1.81:5140$上海电信组播源-cache:222.64.233.176
海南卫视,http://222.70.21.43/rtp/239.45.1.81:5140$上海电信组播源-cache:222.70.21.43
海南卫视,http://58.37.252.90/rtp/239.45.1.81:5140$上海电信组播源-cache:58.37.252.90
海南卫视,http://116.235.85.69/rtp/239.45.1.81:5140$上海电信组播源-cache:116.235.85.69
海南卫视,http://139.196.214.238/rtp/239.45.1.81:5140$上海电信组播源-cache:139.196.214.238
河北卫视,http://222.67.177.132/rtp/239.45.1.44:5140$上海电信组播源-cache:222.67.177.132
河北卫视,http://222.68.37.58/rtp/239.45.1.44:5140$上海电信组播源-cache:222.68.37.58
河北卫视,http://58.37.123.53/rtp/239.45.1.44:5140$上海电信组播源-cache:58.37.123.53
河北卫视,http://116.226.193.197/rtp/239.45.1.44:5140$上海电信组播源-cache:116.226.193.197
河北卫视,http://116.237.125.143/rtp/239.45.1.44:5140$上海电信组播源-cache:116.237.125.143
河北卫视,http://222.64.233.176/rtp/239.45.1.44:5140$上海电信组播源-cache:222.64.233.176
河北卫视,http://222.70.21.43/rtp/239.45.1.44:5140$上海电信组播源-cache:222.70.21.43
河北卫视,http://58.37.252.90/rtp/239.45.1.44:5140$上海电信组播源-cache:58.37.252.90
河北卫视,http://116.235.85.69/rtp/239.45.1.44:5140$上海电信组播源-cache:116.235.85.69
河北卫视,http://139.196.214.238/rtp/239.45.1.44:5140$上海电信组播源-cache:139.196.214.238
河南卫视,http://222.67.177.132/rtp/239.45.0.3:5140$上海电信组播源-cache:222.67.177.132
河南卫视,http://222.68.37.58/rtp/239.45.0.3:5140$上海电信组播源-cache:222.68.37.58
河南卫视,http://58.37.123.53/rtp/239.45.0.3:5140$上海电信组播源-cache:58.37.123.53
河南卫视,http://116.226.193.197/rtp/239.45.0.3:5140$上海电信组播源-cache:116.226.193.197
河南卫视,http://116.237.125.143/rtp/239.45.0.3:5140$上海电信组播源-cache:116.237.125.143
河南卫视,http://222.64.233.176/rtp/239.45.0.3:5140$上海电信组播源-cache:222.64.233.176
河南卫视,http://222.70.21.43/rtp/239.45.0.3:5140$上海电信组播源-cache:222.70.21.43
河南卫视,http://58.37.252.90/rtp/239.45.0.3:5140$上海电信组播源-cache:58.37.252.90
河南卫视,http://116.235.85.69/rtp/239.45.0.3:5140$上海电信组播源-cache:116.235.85.69
河南卫视,http://139.196.214.238/rtp/239.45.0.3:5140$上海电信组播源-cache:139.196.214.238
吉林卫视,http://222.67.177.132/rtp/239.45.0.6:5140$上海电信组播源-cache:222.67.177.132
吉林卫视,http://222.68.37.58/rtp/239.45.0.6:5140$上海电信组播源-cache:222.68.37.58
吉林卫视,http://58.37.123.53/rtp/239.45.0.6:5140$上海电信组播源-cache:58.37.123.53
